vehicle_make,vehicle_fullname
ACUR,Accura
ACURA,Accura
ADVAN,Advantage - Light Truck
AM/TR,AM/TR
AMERI,American Motors
AUDI,Audi
AUTOC,GMC
BENTL,Bentley
BL/BI,Bluebird - Bus
BLUEB,Bluebird
BMW,BMW
BUELL,Buell
BUIC,Buick
BUICK,Buick
CA/AM,Cadillac Ambulance
CADI,Cadillac
CADIL,Cadillac
CASE,Cadillac
CATER,Cadillac
CHEV,Chevrolet
CHEVR,Chevrolet
CHEVY,Chevrolet
CHRY,Chrysler
CHRYS,Chrysler
CHVL,Chevrolet
COLLI,Collins Bus
CR/CA,Chrysler
DAEWO,Daewoo
DEER,DEER
DODD,Dodge
DODG,Dodge
DODGE,Dodge
DUCA,Ducati
DUCAT,Ducati
EAGLE,Eagle
ELDOR,Cadillac
FIAT,Fiat
FORD,Ford
FR/LI,Freightliner
FRE,Freightliner
FREI,Freightliner
FREIG,Freightliner
FRG,Freightliner
FRHT,Freightliner
FRT,Freightliner
FRTL,Freightliner
FTL,FTL
GDAN,GDAN
GEO,Chevrolet
GILLI,Gillig
GM,GMC
GMC,GMC
GRUM,Grumman
HA/DA,Harley Davidson
HD,Harley Davidson
HEIL,HEIL
HINO,Hino
HOND,Honda
HONDA,Honda
HUMM,Hummer
HUMME,Hummer
HYUN,Hyundai
HYUND,Hyundai
IC,IC
IHC,IHC
INFI,Infinity
INFIN,Infinity
INT,International Harvester
INTE,Accura
INTER,International Harvester
INTI,INTI
INTL,International Harvester
INTR,Dodge
ISU,Isuzu
ISUZU,Isuzu
JAGU,Jaguar
JAGUA,Jaguar
JEEP,Jeep
JO/DE,Infinity
KAWAS,Kawasaki
KAWK,Kawasaki
KEN,Kenworth
KENW,Kenworth
KENWO,Kenworth
KIA,Kia
KNNW,Kenworth
KTM,KTM
KW,Kenworth
KYMCO,KYMCO
LA/RO,Land Rover
LEXS,Lexus
LEXUS,Lexus
LINC,Lincoln
LINCO,Lincoln
LNCO,Lincoln
LNDR,Land Rower
MAC,Mack
MACK,Mack
MASER,Masserati
MAZD,Mazda
MAZDA,Mazda
MCI,MCI-Bus
MCIN,MCI-Bus
MCKT,MCI-Bus
ME/BE,Mercedez
MERC,Mercedez
MERCU,Mercury
MERZ,Mercedez
MI/BI,Mitsubishi
MI/FU,Mitsubishi-Truck
MICRO,Nissan
MINI,Mini Cooper
MITS,Mitsubishi
MITSU,Mitsubishi
MNNI,MNNI
NE/FL,Neoplan-Bus
NEWFL,Chrysler
NISS,Nissan
NISSA,Nissan
NO/BU,Chevrolet
NOVA,Chevrolet
OLDS,Oldsmobile
OLDSM,Oldsmobile
ORION,Orion
OSHKO,Oshkosh
PET,Peterbilt
PETE,Peterbilt
PETER,Peterbilt
PIRC,PIRC
PLYM,Plymouth
PLYMO,Plymouth
PONT,Pontiac
PONTI,Pontiac
PORS,Porsche
PORSC,Porsche
PREVO,PREVO
PTRB,Peterbilt
RAM,RAM
RROV,Range Rover
SAA,Saab
SAAB,Saab
SATR,Saturn
SATUR,Saturn
SCIO,Scion
SMART,Smart
SPRIN,Alfa Romeo
SPTN,SPTN
STARC,Pontiac
STEM,Pontiac
STER,Sterling
STERL,Sterling
STLG,Sterling
STRN,Sterling
SUBA,Subaru
SUBAR,Subaru
SUZI,Suzuki
SUZUK,Suzuki
TESL,Tesla
TESLA,Tesla
THMS,Thomas Built
THOMA,Thomas Built
TOYO,Toyota
TOYOT,Toyota
TOYT,Toyota
TR/TE,TR/TE
TRANS,Pontiac
TRIUM,Triumph
TYCO,TYCO
UD,UD
UNKN,Unknown
UTIL,Utility
UTILI,Utility
VESPA,Vespa
VICTO,Victory - Motorcycle
VLV,Volvo
VOL,Volkswagen
VOLK,Volkswagen
VOLKS,Volkswagen
VOLV,Volvo
VOLVO,Volvo
VPG,Honda
WANC,Western Star - Truck
WE/ST,Western Star - Truck
WESTE,Western Star - Truck
WHITE,White/Autocar
WORKH,Chevrolet
WSTR,Western Star - Truck
YAMA,Yamaha
YAMAH,Yamaha
YMCL,Yamaha
,Unknown2
